284380 284380 0.3445 -0.1818 9.743 284380 -0.009179 -0.001729 0.003193
284390 284390 0.3637 -0.1818 9.714 284390 -0.01131 -0.0006651 0.001463
284390 284390 0.3445 -0.1914 9.695 284390 -0.01064 -0.002128 -0.002528
287401 287401 0.3445 -0.1723 9.714 287401 -0.009179 -0.005188 0.002927
287411 287411 0.3541 -0.1914 9.704 287411 -0.01117 -0.004523 0.0009312
287421 287421 0.3541 -0.201 9.733 287421 -0.0002661 -0.0002661 0.003459
287431 287431 0.3445 -0.1723 9.714 287431 -0.01304 -0.001064 0.002128
287441 287441 0.3445 -0.1914 9.714 287441 -0.01197 -0.0006651 0.0009312
287451 287451 0.3637 -0.1627 9.733 287451 -0.006917 -0.003725 -0.000133
287461 287461 0.3445 -0.1723 9.733 287461 -0.006119 -0.003592 0.002661
287471 287471 0.3637 -0.1723 9.685 287471 -0.009578 -0.003991 0.003858
287481 287481 0.3254 -0.1914 9.704 287481 -0.00705 -0.003326 0.001596
287491 287491 0.335 -0.1818 9.695 287491 -0.005986 -0.004789 0.0003991
287501 287501 0.3637 -0.1723 9.752 287501 -0.008115 -0.001995 0.00306
287511 287511 0.3445 -0.201 9.723 287511 -0.01144 -0.003991 -0.0009312
287521 287521 0.335 -0.1914 9.704 287521 -0.007317 -0.001064 0.002661
287531 287531 0.3254 -0.1723 9.714 287531 -0.009312 -0.004124 0.00306
287541 287541 0.3541 -0.1914 9.695 287541 -0.009844 -0.008514 0.002261
287551 287551 0.335 -0.1723 9.714 287551 -0.0137 -0.00439 -0.001064
287561 287561 0.3254 -0.1914 9.704 287561 -0.009844 -0.001064 0.0006651
287571 287571 0.3445 -0.1818 9.685 287571 -0.008647 -0.005321 0.004656
287581 287581 0.3445 -0.1914 9.695 287581 -0.002927 -0.004257 0.002927
287591 287591 0.3541 -0.1914 9.704 287591 -0.00439 -0.001463 0.002261
287601 287601 0.3541 -0.1818 9.723 287601 -0.004656 -0.002128 -0.0003991
287611 287611 0.3541 -0.1818 9.723 287611 -0.006518 -0.00306 -0.0006651
287621 287621 0.3445 -0.1723 9.676 287621 -0.005188 -0.005454 0.0003991
287631 287631 0.3541 -0.1627 9.714 287631 -0.01184 -0.002128 0.004656
287641 287641 0.3637 -0.1914 9.723 287641 -0.01038 -0.004124 0.0006651
287651 287651 0.3254 -0.1723 9.704 287651 -0.006252 -0.001729 0.002261
287661 287661 0.335 -0.1818 9.695 287661 -0.001463 -0.005321 -0.000133
287671 287671 0.3445 -0.2105 9.704 287671 -0.01224 -0.005853 0.0009312
287681 287681 0.3445 -0.2105 9.723 287681 -0.01224 -0.005321 0.004523
287691 287691 0.3541 -0.1818 9.723 287691 -0.003725 -0.001463 0.003725
287701 287701 0.3541 -0.1723 9.704 287701 -0.009711 -0.004257 -0.001995
287711 287711 0.3637 -0.1627 9.723 287711 -0.009578 -0.004789 0.005321
287721 287721 0.3637 -0.1914 9.714 287721 -0.01237 -0.002128 0.00133
287731 287731 0.3445 -0.1723 9.704 287731 -0.007716 -0.00745 0.001729
287741 287741 0.3541 -0.1914 9.733 287741 -0.01716 -0.001729 0.001064
