353112 1 37 0 
375293 1 36 0 
375343 1 36 0 
375403 1 36 0 
375463 1 36 0 
375533 1 36 0 
375583 1 36 0 
375643 1 36 0 
375703 1 36 0 
375763 1 36 0 
375823 1 36 0 
375883 1 36 0 
445010 1 37 0 
445070 1 37 0 
445190 1 37 0 
445260 1 37 0 
445320 1 37 0 
445370 1 37 0 
445430 1 37 0 
445491 1 37 0 
445551 1 37 0 
445621 1 37 0 
445671 1 37 0 
445731 1 37 0 
445791 1 37 0 
445851 1 37 0 
445911 1 37 0 
445971 1 37 0 
446031 1 37 0 
446101 1 37 0 
446151 1 37 0 
446271 1 37 0 
446331 1 37 0 
446401 1 37 0 
446461 1 37 0 
446511 1 37 0 
446571 1 37 0 
446631 1 37 0 
446691 1 37 0 
446751 1 37 0 
446811 1 37 0 
446991 1 37 0 
447111 1 37 0 
447171 1 37 0 
447221 1 37 0 
447351 1 37 0 
449332 1 37 0 
449392 1 37 0 
449442 1 37 0 
449502 1 37 0 
449562 1 37 0 
490452 1 37 0 
490512 1 37 0 
490572 1 37 0 
490632 1 37 0 
490692 1 37 0 
553969 1 37 0 
554159 1 37 0 
554209 1 37 0 
554269 1 37 0 
554334 1 37 0 
565797 1 29 0 
565807 1 29 0 
565817 1 29 0 
565827 1 29 0 
